ㅈtitle,author,publisher,isbn,description,image,link
"중학영문법 3800제 2학년 (2022,새 교과서에 맞춘 12차 개정판)",마더텅 편집부,마더텅,9791162728673,"필수 문법사항 암기표, 열공 진도표 제공 8. 무료제공: * 영단어·표현 암기장* 단어장 MP3 파일* 모든 영어 예문에 대한 우리말 해석자료 홈페이지 제공 9. EBS 중학프리미엄 최고 인기 교재, 본사 직강 마더텅 중학영문법 3800제 동영상 강의 제공",https://bookthumb-phinf.pstatic.net/cover/209/415/20941552.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20941552
"마더텅 수능기출문제집 국어 독서 (2022,2023 대비)",마더텅 편집부,마더텅,9791162729380,〈책의 특장점〉* 총 697문항 수록  - 2013~2022학년도 최신 10개년 수능·모의평가 기출문제 전 문항   - 2022학년도 수능 평가원 예시문항   - 2009~2012학년도 4개년 수능·모의평가 기출문제 고난도 문항* 전 문항 모든 선지의 정·오답 풀이에 명확한 지문 근거 제시* 각 지문별 문제 풀이 시간 제시하여... ,https://bookthumb-phinf.pstatic.net/cover/213/564/21356497.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21356497
"마더텅 수능기출문제집 국어 문학 (2023 수능대비,2022)",마더텅 편집부,마더텅,9791162729373,"대학수학능력시험의 완벽한 대비를 위한 기출문제집!풀면 풀수록 국어 문학의 원리가 정리되는 문제집!- 총 679문항, 277개 작품을 6개의 유형별로 배치- 2013~2022학년도 10개년 수능ㆍ모의평가 전 문항 수록 - 2008~2012학년도 5개년 수능ㆍ모의평가 우수 문항 수록- 2022학년도 수능 예시 문항 수록* 지문마다 풀이... ",https://bookthumb-phinf.pstatic.net/cover/213/544/21354423.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21354423
"중학영문법 3800제 3학년 (2022,새 교과서에 맞춘 12차 개정판)",마더텅 편집부,마더텅,9791162728697,"필수 문법사항 암기표, 열공 진도표 제공 8. 무료제공: * 영단어·표현 암기장* 단어장 MP3 파일* 모든 영어 예문에 대한 우리말 해석자료 홈페이지 제공 9. EBS 중학프리미엄 최고 인기 교재, 본사 직강 마더텅 중학영문법 3800제 동영상 강의 제공",https://bookthumb-phinf.pstatic.net/cover/209/415/20941553.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20941553
"마더텅 수능기출문제집 고등 사회·문화 (2023 수능대비,2022)",마더텅 편집부,마더텅,9791162729564,〈 책의 특장점 〉2023 수능대비 마더텅 수능기출문제집 사회 · 문화는 총 876문항을 5개의 단원으로 나누어 수록하였습니다.ㆍ 2020~2021년 시행된 수능·모의평가·학력평가 기출문제 전 문항 수록(280문항)ㆍ 2013~2019년 시행된 수능·모의평가·학력평가 기출문제 중 우수 문항 선별 수록(596문항)ㆍ 사회... ,https://bookthumb-phinf.pstatic.net/cover/213/594/21359460.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21359460
"마더텅 수능기출문제집 고등 생활과 윤리 (2023 수능대비,2022)",마더텅 편집부,마더텅,9791162729557,〈 책의 특장점 〉2023 수능대비 마더텅 수능기출문제집 생활과 윤리는 총 872문항을 6개의 단원으로 나누어 수록하였습니다.ㆍ 2020~2021년 시행된 수능 · 모의평가 · 학력평가 기출문제 전 문항 수록(280문항)ㆍ 2013~2019년 시행된 수능 · 모의평가 · 학력평가 기출문제 선별 수록(575문항)ㆍ 15 개정... ,https://bookthumb-phinf.pstatic.net/cover/213/594/21359446.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21359446
"마더텅 수능기출문제집 영어 독해 (2022,2023 대비)",마더텅 편집부,마더텅,9791162729465,"〈 책의 특장점 〉누적 판매 607만 부, 2021년 한 해 97만 부가 판매된 베스트셀러 기출문제집 시리즈!수능·모의평가·학력평가에 자주 출제되는 유형을 철저히 분석하여 적용한 유형별 기출문제집!총 645문항, 최신 6개년, 2022 교육과정에 맞는 영어 독해 유형 수록!1. 2020~2022학년도 최신 3개년... ",https://bookthumb-phinf.pstatic.net/cover/213/563/21356321.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21356321
"마더텅 수능기출문제집 생명과학1 (2023 수능대비,2022)",마더텅 편집부,마더텅,9791162729632,"고난도 28문항 : 기존 마더텅 해설 + 〈더 자세한 해설 + Α〉 까지 추가 제공!마더텅 〈더 자세한 해설 + Α〉로 공부하고 수능에서 1등급으로 도약하기!... 어려워서 포기한 1등급, 고난도 문항의 풀이 비결을 〈마더텅 자세한 해설 + Α〉에서 알려드립니다![기출 핵심 ○× 522제] 기출 복습을 위한 최고의... ",https://bookthumb-phinf.pstatic.net/cover/213/544/21354428.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21354428
마더텅 100% 실전대비 MP3 중학영어듣기 24회 모의고사 1학년 (2022),마더텅 편집부,마더텅,9791162728598,"듣기부문 최강교재!!중학영어듣기 부문 국내 주요서점 최다 판매!최신개정판 2021년까지의 총 판매량 214만 권!1. 2021년까지의 누적판매량 총 214만 권!2. 전국 16개 시·도 교육청 공동 주관 중학영어듣기 능력 평가 완벽 반영, 서울시 중학영어듣기 문제 반영3. 실제 시험과 동일한 속도, 1.25배... ",https://bookthumb-phinf.pstatic.net/cover/211/060/21106064.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21106064
"마더텅 수능기출문제집 고등 수학1 (2023 수능대비,2022)",마더텅 편집부,마더텅,9791162729410,"〈책의 특장점〉1. 풍부하고 다양한 문항 구성ㆍ 총 1,154문항 93개의 유형을 단계적으로 배치하여 시험 준비에 최적화ㆍ 수능ㆍ모의평가 수록 29개년(1994~2022학년도) 및 전국연합 학력평가 21개년(2001~2021년)  기출문제 중 2022 적용 교육과정에 맞는 우수 문항 수록2. 체계적 학습에 최적화된 문제편ㆍ 각... ",https://bookthumb-phinf.pstatic.net/cover/213/594/21359442.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21359442
"마더텅 수능기출문제집 지구과학1 (2023 수능대비,2022)",마더텅 편집부,마더텅,9791162729656,"전 문항, 모든 선지에 100% 첨삭해설 수록 〈기출 자료 분석〉마더텅 〈기출 자료 분석 모음〉으로 공부하고 수능 1등급으로 도약하기!문제를 풀기 전 꼭 정리해야 할 자료 모음수능, 모의평가, 학력평가 문항 중 자주 나오는 자료를 선별!기존 마더텅 개념+〈기출 자료 분석〉까지 추가 제공!〈문제편〉... ",https://bookthumb-phinf.pstatic.net/cover/213/544/21354429.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21354429
마더텅 100% 실전대비 MP3 중학영어듣기 24회 모의고사 2학년 (2022),마더텅 편집부,마더텅,9791162728611,"듣기부문 최강교재!!중학영어듣기 부문 국내 주요서점 최다 판매!최신개정판 2021년까지의 총 판매량 214만 권!1. 2021년까지의 누적판매량 총 214만 권!2. 전국 16개 시·도 교육청 공동 주관 중학영어듣기 능력 평가 완벽 반영, 서울시 중학영어듣기 문제 반영3. 실제 시험과 동일한 속도, 1.25배... ",https://bookthumb-phinf.pstatic.net/cover/211/060/21106063.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21106063
"마더텅 수능기출문제집 국어 언어와 매체 (2022,2023 대비)",마더텅 편집부,마더텅,9791162729397,〈책의 특장점〉* 총 503문항 수록  - [언어] 2006~2022학년도 최신 17개년 수능·모의평가 기출문제 전 문항 + 2022학년도 수능 평가원 예시문항 + 2013~2021년 최신 9개년 전국연합 학력평가 기출문제 전 문항 수록  - [매체] 2022학년도 최신 1개년 수능·모의평가 기출문제 전 문항 + 2022학년도 수능 평가원 예시문항... ,https://bookthumb-phinf.pstatic.net/cover/213/564/21356498.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21356498
"마더텅 수능기출문제집 고등 수학2 (2022,2023 대비)",마더텅 편집부,마더텅,9791162729427,"〈책의 특장점〉1. 풍부하고 다양한 문항 구성ㆍ 총 1,023문항 73개의 유형을 단계적으로 배치하여 수능 준비에 최적화ㆍ 수능ㆍ모의평가 수록 29개년(1994~2022학년도) 및 전국연합 학력평가 21개년(2001~2021년)  기출문제 중 2022 적용 교육과정에 맞는 우수 문항 수록2. 체계적 학습에 최적화된 문제편ㆍ 각... ",https://bookthumb-phinf.pstatic.net/cover/213/520/21352066.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21352066
"마더텅 수능기출 모의고사 30회 영어 영역 (2023 수능대비,2022)",마더텅 편집부,마더텅,9791168590076,책의 특장점● 2022학년도 대학수학능력시험 수록! - 실제 수능 상황과 똑같은 환경에서 30번 반복 연습 가능- 실제 수능과 100% 똑같은 실전용 OMR카드 무료 제공- 시험장 상황을 체험할 수 있는 수능 안내 방송 MP3 제공● 2017~2022학년도 최신 6개년 수능·모의평가 전 회차 수록● 2019~2021년 최신 3개년... ,https://bookthumb-phinf.pstatic.net/cover/214/728/21472851.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21472851
"마더텅 수능기출문제집 고등 화학1 (2023 수능대비,2022)",마더텅 편집부,마더텅,9791162729618,"최신 6개년 학력평가, 모의평가, 수능 문항 중 고난도 28문항을 선별!고난도 28문항 : 기존 마더텅 해설 + 〈자세한 해설 + Α〉 까지 추가 제공!마더텅... 어려워서 포기한 1등급, 고난도 문항의 풀이 비결을 〈마더텅 자세한 해설 + Α〉에서 알려드립니다![기출 핵심 ○× 599제] 기출 복습을 위한 최고의... ",https://bookthumb-phinf.pstatic.net/cover/213/594/21359444.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21359444
"마더텅 수능기출문제집 고등 국어 화법과 작문 (2022,2023 대비)",마더텅 편집부,마더텅,9791162729403,"〈책의 특장점〉* 총 382문항 수록  - 2014~2022학년도 최신 9개년 수능·모의평가 기출문제 전 문항  - 2022학년도 수능 평가원 예시문항  - 2021년 최신 1개년 전국연합 학력평가 기출문제 전 문항* 해설에 지문과 문제가 그대로 나오는 첨삭 해설 방식  - 해설편에 지문과 문제, 선지를 그대로 제시하고 해설이... ",https://bookthumb-phinf.pstatic.net/cover/213/517/21351794.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21351794
마더텅 100% 실전대비 MP3 중학영어듣기 24회 모의고사 3학년 (2022),마더텅 편집부,마더텅,9791162728635,"듣기부문 최강교재!!중학영어듣기 부문 국내 주요서점 최다 판매!최신개정판 2021년까지의 총 판매량 214만 권!1. 2021년까지의 누적판매량 총 214만 권!2. 전국 16개 시·도 교육청 공동 주관 중학영어듣기 능력 평가 완벽 반영, 서울시 중학영어듣기 문제 반영3. 실제 시험과 동일한 속도, 1.25배... ",https://bookthumb-phinf.pstatic.net/cover/211/060/21106062.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21106062
"마더텅 고등 국어영역 수능기출 모의고사 28회 (2023 수능대비,2022)",마더텅 편집부,마더텅,9791168590052,〈책의 특장점〉2022 수능부터 적용된 교육과정 체제에 맞는 공통과목 + 선택과목(화법과 작문ㆍ언어와 매체)으로 모의고사 회차 구성2014~2022학년도 최신 9개년 수능ㆍ모의평가 전 문항 + 2010~2022학년도 13개년 수능ㆍ모의평가ㆍ학력평가 중 새 교육과정에 맞는 우수 문항 선별 + 2022학년도 수능 평가원... ,https://bookthumb-phinf.pstatic.net/cover/214/235/21423505.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21423505
